month,company,channel,revenue,gross_margin,revenue_budget
2025-06,华东事业群-子公司A,线下门店,40.12,30.2,42.13
2025-06,华东事业群-子公司A,线上完税,23.26,33.5,24.42
2025-06,华东事业群-子公司A,免税渠道,18.35,28.2,19.26
2025-06,华东事业群-子公司A,国际业务,13.47,27.9,14.50
2025-06,华南事业群-子公司B,线下门店,39.05,29.8,41.00
2025-06,华南事业群-子公司B,线上完税,20.15,33.0,21.16
2025-06,华南事业群-子公司B,免税渠道,12.10,27.8,12.70
2025-06,华南事业群-子公司B,国际业务,13.00,27.6,13.80
2025-06,海南区域-子公司C,线下门店,41.80,30.5,44.00
2025-06,海南区域-子公司C,线上完税,15.50,33.2,16.20
2025-06,海南区域-子公司C,免税渠道,28.20,29.1,29.61
2025-06,海南区域-子公司C,国际业务,12.34,27.7,13.10
2025-07,华东事业群-子公司A,线下门店,41.00,30.4,43.05
2025-07,华东事业群-子公司A,线上完税,23.80,33.7,24.99
2025-07,华东事业群-子公司A,免税渠道,18.60,28.3,19.53
2025-07,华东事业群-子公司A,国际业务,13.40,27.9,14.40
2025-07,华南事业群-子公司B,线下门店,39.60,29.9,41.58
2025-07,华南事业群-子公司B,线上完税,20.40,33.1,21.46
2025-07,华南事业群-子公司B,免税渠道,12.25,27.9,12.86
2025-07,华南事业群-子公司B,国际业务,13.30,27.7,14.00
2025-07,海南区域-子公司C,线下门店,42.50,30.6,44.63
2025-07,海南区域-子公司C,线上完税,15.80,33.3,16.49
2025-07,海南区域-子公司C,免税渠道,29.00,29.3,30.45
2025-07,海南区域-子公司C,国际业务,12.32,27.8,13.00
2025-08,华东事业群-子公司A,线下门店,41.95,30.6,44.05
2025-08,华东事业群-子公司A,线上完税,24.30,33.9,25.50
2025-08,华东事业群-子公司A,免税渠道,18.95,28.4,19.90
2025-08,华东事业群-子公司A,国际业务,13.55,28.0,14.60
2025-08,华南事业群-子公司B,线下门店,40.30,30.0,42.30
2025-08,华南事业群-子公司B,线上完税,20.85,33.2,21.90
2025-08,华南事业群-子公司B,免税渠道,12.60,28.0,13.23
2025-08,华南事业群-子公司B,国际业务,13.40,27.8,14.10
2025-08,海南区域-子公司C,线下门店,43.20,30.8,45.30
2025-08,海南区域-子公司C,线上完税,16.00,33.4,16.80
2025-08,海南区域-子公司C,免税渠道,29.50,29.4,31.00
2025-08,海南区域-子公司C,国际业务,12.53,27.9,13.30